symbol,ts_utc,long_qty,short_qty
ADA,2021-12-23 00:00:00+00,21817728.22,1217335.84
ADA,2021-12-24 00:00:00+00,21817728.22,1217335.84
ADA,2021-12-25 00:00:00+00,21817728.22,1217335.84
ADA,2021-12-26 00:00:00+00,21817728.22,1217335.84
ADA,2021-12-27 00:00:00+00,21817728.22,1217335.84
ADA,2021-12-28 00:00:00+00,21817728.22,1217335.84
ADA,2021-12-29 00:00:00+00,21817728.22,1217335.84
ADA,2021-12-30 00:00:00+00,21817728.22,1217335.84
ADA,2021-12-31 00:00:00+00,21817728.22,1217335.84
ADA,2022-01-01 00:00:00+00,21817728.22,1217335.84
ADA,2022-01-02 00:00:00+00,21817728.22,1217335.84
ADA,2022-01-03 00:00:00+00,21817728.22,1217335.84
ADA,2022-01-04 00:00:00+00,21817728.22,1217335.84
ADA,2022-01-05 00:00:00+00,21322638.95,955766.31
ADA,2022-01-06 00:00:00+00,20347183.54,1426108.42
ADA,2022-01-07 00:00:00+00,17107678.01,1577046.06
ADA,2022-01-08 00:00:00+00,17107678.01,1577046.06
ADA,2022-01-09 00:00:00+00,17107678.01,1577046.06
ADA,2022-01-10 00:00:00+00,17107678.01,1577046.06
ADA,2022-01-11 00:00:00+00,17107678.01,1577046.06
ADA,2022-01-12 00:00:00+00,17107678.01,1577046.06
ADA,2022-01-13 00:00:00+00,12390166.17,2497483.34
ADA,2022-01-14 00:00:00+00,12390166.17,2497483.34
ADA,2022-01-15 00:00:00+00,12390166.17,2497483.34
ADA,2022-01-16 00:00:00+00,12390166.17,2497483.34
ADA,2022-01-17 00:00:00+00,12201370.42,2260445.94
ADA,2022-01-18 00:00:00+00,12128777.27,2391104.71
ADA,2022-01-19 00:00:00+00,12128777.27,2391104.71
ADA,2022-01-20 00:00:00+00,12128777.27,2391104.71
ADA,2022-01-21 00:00:00+00,12128777.27,2391104.71
ADA,2022-01-22 00:00:00+00,11816707.38,2278196.78
ADA,2022-01-23 00:00:00+00,11380087.76,2435765.75
ADA,2022-01-24 00:00:00+00,11395241.36,2444545.86
ADA,2022-01-25 00:00:00+00,11395241.36,2444545.86
ADA,2022-01-26 00:00:00+00,11395241.36,2444545.86
ADA,2022-01-27 00:00:00+00,11395241.36,2444545.86
ADA,2022-01-28 00:00:00+00,11395241.36,2444545.86
ADA,2022-01-29 00:00:00+00,11395241.36,2444545.86
ADA,2022-01-30 00:00:00+00,11395241.36,2444545.86
ADA,2022-01-31 00:00:00+00,11395241.36,2444545.86
ADA,2022-02-01 00:00:00+00,11395241.36,2444545.86
ADA,2022-02-02 00:00:00+00,9728855.62,2298660.52
ADA,2022-02-03 00:00:00+00,9715987.8,2238891.07
ADA,2022-02-04 00:00:00+00,9415501.9,2224526.21
ADA,2022-02-05 00:00:00+00,9415501.9,2224526.21
ADA,2022-02-06 00:00:00+00,9526191.82,2065795.03
ADA,2022-02-07 00:00:00+00,9778922.51,2092815.81
ADA,2022-02-08 00:00:00+00,9777357.66,2115860.13
ADA,2022-02-09 00:00:00+00,9777357.66,2115860.13
ADA,2022-02-10 00:00:00+00,9777357.66,2115860.13
