ts_utc,premium_rate
2017-08-17 00:00:00+00,2.5468
2017-08-18 00:00:00+00,-0.1183
2017-08-19 00:00:00+00,-0.1619
2017-08-20 00:00:00+00,0.884
2017-08-21 00:00:00+00,-0.4458
2017-08-22 00:00:00+00,-0.3486
2017-08-23 00:00:00+00,1.2871
2017-08-24 00:00:00+00,-0.1085
2017-08-25 00:00:00+00,-0.0922
2017-08-26 00:00:00+00,1.8523
2017-08-27 00:00:00+00,0.2726
2017-08-28 00:00:00+00,0.777
2017-08-29 00:00:00+00,0.7199
2017-08-30 00:00:00+00,0.7556
2017-08-31 00:00:00+00,0.5892
2017-09-01 00:00:00+00,1.1525
2017-09-02 00:00:00+00,3.1659
2017-09-03 00:00:00+00,2.9697
2017-09-04 00:00:00+00,2.687
2017-09-05 00:00:00+00,9.5323
2017-09-06 00:00:00+00,1.512
2017-09-07 00:00:00+00,-0.0777
2017-09-08 00:00:00+00,-1.4383
2017-09-09 00:00:00+00,1.5691
2017-09-10 00:00:00+00,1.774
2017-09-11 00:00:00+00,2.3531
2017-09-12 00:00:00+00,0.0504
2017-09-13 00:00:00+00,0.1154
2017-09-14 00:00:00+00,-2.2411
2017-09-15 00:00:00+00,1.9442
2017-09-16 00:00:00+00,1.7967
2017-09-17 00:00:00+00,1.1201
2017-09-18 00:00:00+00,0.8125
2017-09-19 00:00:00+00,0.9852
2017-09-20 00:00:00+00,0.0018
2017-09-21 00:00:00+00,-0.4607
2017-09-22 00:00:00+00,0.6855
2017-09-23 00:00:00+00,0.6432
2017-09-24 00:00:00+00,0.2061
2017-09-25 00:00:00+00,0.2456
2017-09-26 00:00:00+00,-0.2042
2017-09-27 00:00:00+00,0.0703
2017-09-28 00:00:00+00,0.1882
2017-09-29 00:00:00+00,0.2498
2017-09-30 00:00:00+00,-0.4314
2017-10-01 00:00:00+00,-0.9017
2017-10-02 00:00:00+00,-0.118
2017-10-03 00:00:00+00,0.2902
2017-10-04 00:00:00+00,-0.1601
2017-10-05 00:00:00+00,0.1485
2017-10-06 00:00:00+00,0.0238
2017-10-07 00:00:00+00,-0.1373
2017-10-08 00:00:00+00,0.0
2017-10-09 00:00:00+00,-0.7866
2017-10-10 00:00:00+00,-0.3635
2017-10-11 00:00:00+00,-0.6912
2017-10-12 00:00:00+00,-0.1336
2017-10-13 00:00:00+00,0.0002
2017-10-14 00:00:00+00,-0.4448
2017-10-15 00:00:00+00,-0.6131
2017-10-16 00:00:00+00,-0.2855
2017-10-17 00:00:00+00,-0.0885
2017-10-18 00:00:00+00,-0.0184
2017-10-19 00:00:00+00,1.1068
2017-10-20 00:00:00+00,0.364
2017-10-21 00:00:00+00,-0.4094
2017-10-22 00:00:00+00,0.3595
2017-10-23 00:00:00+00,0.5029
2017-10-24 00:00:00+00,-0.0587
2017-10-25 00:00:00+00,0.3361
2017-10-26 00:00:00+00,1.2323
2017-10-27 00:00:00+00,0.5091
2017-10-28 00:00:00+00,0.1943
2017-10-29 00:00:00+00,0.7361
2017-10-30 00:00:00+00,0.1141
2017-10-31 00:00:00+00,0.0595
2017-11-01 00:00:00+00,-0.2784
2017-11-02 00:00:00+00,0.4399
2017-11-03 00:00:00+00,0.4234
2017-11-04 00:00:00+00,0.7729
2017-11-05 00:00:00+00,0.7486
2017-11-06 00:00:00+00,0.6378
2017-11-07 00:00:00+00,-0.1713
2017-11-08 00:00:00+00,0.8344
2017-11-09 00:00:00+00,2.2588
2017-11-10 00:00:00+00,1.0877
2017-11-11 00:00:00+00,1.1476
2017-11-12 00:00:00+00,1.6267
2017-11-13 00:00:00+00,0.7947
2017-11-14 00:00:00+00,1.0807
2017-11-15 00:00:00+00,0.4412
2017-11-16 00:00:00+00,0.7439
2017-11-17 00:00:00+00,-0.488
2017-11-18 00:00:00+00,0.4517
2017-11-19 00:00:00+00,0.1942
2017-11-20 00:00:00+00,-0.3138
2017-11-21 00:00:00+00,0.5299
2017-11-22 00:00:00+00,0.2214
2017-11-23 00:00:00+00,0.2061
2017-11-24 00:00:00+00,0.1395
2017-11-25 00:00:00+00,0.934
2017-11-26 00:00:00+00,1.0972
2017-11-27 00:00:00+00,2.992
2017-11-28 00:00:00+00,1.2302
2017-11-29 00:00:00+00,0.5275
2017-11-30 00:00:00+00,2.4043
2017-12-01 00:00:00+00,0.671
2017-12-02 00:00:00+00,0.8799
2017-12-03 00:00:00+00,0.2527
2017-12-04 00:00:00+00,1.1159
2017-12-05 00:00:00+00,0.6305
2017-12-06 00:00:00+00,0.1568
2017-12-07 00:00:00+00,4.0543
2017-12-08 00:00:00+00,4.7654
2017-12-09 00:00:00+00,3.0669
2017-12-10 00:00:00+00,4.4052
