symbol,ts_utc,funding_close
ADA,2020-04-15 00:00:00+00,0.01451455
ADA,2020-04-16 00:00:00+00,0.00842467
ADA,2020-04-17 00:00:00+00,0.01
ADA,2020-04-18 00:00:00+00,0.01
ADA,2020-04-19 00:00:00+00,0.01
ADA,2020-04-20 00:00:00+00,0.01
ADA,2020-04-21 00:00:00+00,0.01
ADA,2020-04-22 00:00:00+00,0.01
ADA,2020-04-23 00:00:00+00,0.01
ADA,2020-04-24 00:00:00+00,0.08549904
ADA,2020-04-25 00:00:00+00,0.01
ADA,2020-04-26 00:00:00+00,0.00658826
ADA,2020-04-27 00:00:00+00,0.00409968
ADA,2020-04-28 00:00:00+00,-0.00167033
ADA,2020-04-29 00:00:00+00,0.01239267
ADA,2020-04-30 00:00:00+00,0.03709235
ADA,2020-05-01 00:00:00+00,0.02488763
ADA,2020-05-02 00:00:00+00,0.08444277
ADA,2020-05-03 00:00:00+00,0.00585488
ADA,2020-05-04 00:00:00+00,0.00929078
ADA,2020-05-05 00:00:00+00,0.00734287
ADA,2020-05-06 00:00:00+00,0.01695147
ADA,2020-05-07 00:00:00+00,0.02460731
ADA,2020-05-08 00:00:00+00,0.0447917
ADA,2020-05-09 00:00:00+00,0.05224963
ADA,2020-05-10 00:00:00+00,0.03793149
ADA,2020-05-11 00:00:00+00,0.00465194
ADA,2020-05-12 00:00:00+00,0.00685773
ADA,2020-05-13 00:00:00+00,0.00406705
ADA,2020-05-14 00:00:00+00,-0.00452369
ADA,2020-05-15 00:00:00+00,0.00845454
ADA,2020-05-16 00:00:00+00,0.01308713
ADA,2020-05-17 00:00:00+00,0.0089819
ADA,2020-05-18 00:00:00+00,0.01160864
ADA,2020-05-19 00:00:00+00,0.03153263
ADA,2020-05-20 00:00:00+00,0.01203255
ADA,2020-05-21 00:00:00+00,0.0052014
ADA,2020-05-22 00:00:00+00,0.01508921
ADA,2020-05-23 00:00:00+00,0.00474615
ADA,2020-05-24 00:00:00+00,0.01094049
ADA,2020-05-25 00:00:00+00,-0.00090599
ADA,2020-05-26 00:00:00+00,0.0158697
ADA,2020-05-27 00:00:00+00,0.00949125
ADA,2020-05-28 00:00:00+00,-0.01558806
ADA,2020-05-29 00:00:00+00,0.00662547
ADA,2020-05-30 00:00:00+00,0.006693
ADA,2020-05-31 00:00:00+00,0.04409578
ADA,2020-06-01 00:00:00+00,-0.00387478
ADA,2020-06-02 00:00:00+00,0.0071863
ADA,2020-06-03 00:00:00+00,0.01095601
ADA,2020-06-04 00:00:00+00,0.00715909
ADA,2020-06-05 00:00:00+00,0.00966669
ADA,2020-06-06 00:00:00+00,0.00714919
ADA,2020-06-07 00:00:00+00,-0.00860879
ADA,2020-06-08 00:00:00+00,0.00098425
ADA,2020-06-09 00:00:00+00,0.00548242
ADA,2020-06-10 00:00:00+00,0.00926551
ADA,2020-06-11 00:00:00+00,0.01205234
ADA,2020-06-12 00:00:00+00,-0.00242774
ADA,2020-06-13 00:00:00+00,0.01386757
ADA,2020-06-14 00:00:00+00,0.02493417
ADA,2020-06-15 00:00:00+00,-0.01948865
ADA,2020-06-16 00:00:00+00,0.0033018
ADA,2020-06-17 00:00:00+00,-0.02583982
ADA,2020-06-18 00:00:00+00,0.00357433
ADA,2020-06-19 00:00:00+00,0.00368222
ADA,2020-06-20 00:00:00+00,-0.02830224
ADA,2020-06-21 00:00:00+00,-0.02161069
ADA,2020-06-22 00:00:00+00,0.00492446
ADA,2020-06-23 00:00:00+00,-0.02594417
ADA,2020-06-24 00:00:00+00,0.00630857
ADA,2020-06-25 00:00:00+00,-0.02938107
ADA,2020-06-26 00:00:00+00,-0.00601524
ADA,2020-06-27 00:00:00+00,0.00616624
ADA,2020-06-28 00:00:00+00,-0.05624791
ADA,2020-06-29 00:00:00+00,-0.12787939
ADA,2020-06-30 00:00:00+00,-0.07716817
ADA,2020-07-01 00:00:00+00,-0.13883743
ADA,2020-07-02 00:00:00+00,-0.04657964
ADA,2020-07-03 00:00:00+00,-0.07004316
ADA,2020-07-04 00:00:00+00,-0.27984887
ADA,2020-07-05 00:00:00+00,-0.05690432
ADA,2020-07-06 00:00:00+00,0.00619255
ADA,2020-07-07 00:00:00+00,-0.01744124
ADA,2020-07-08 00:00:00+00,0.03327428
ADA,2020-07-09 00:00:00+00,0.03541383
ADA,2020-07-10 00:00:00+00,0.01109005
ADA,2020-07-11 00:00:00+00,0.00914205
ADA,2020-07-12 00:00:00+00,-0.00521478
ADA,2020-07-13 00:00:00+00,-0.03456168
ADA,2020-07-14 00:00:00+00,0.07423187
ADA,2020-07-15 00:00:00+00,0.03195909
ADA,2020-07-16 00:00:00+00,-0.00332212
ADA,2020-07-17 00:00:00+00,0.00405216
ADA,2020-07-18 00:00:00+00,-0.01165189
ADA,2020-07-19 00:00:00+00,-0.01446986
ADA,2020-07-20 00:00:00+00,-0.00197723
ADA,2020-07-21 00:00:00+00,0.00617406
ADA,2020-07-22 00:00:00+00,0.0017429
ADA,2020-07-23 00:00:00+00,-0.01357876
ADA,2020-07-24 00:00:00+00,0.05154599
ADA,2020-07-25 00:00:00+00,0.01048126
ADA,2020-07-26 00:00:00+00,0.09134661
ADA,2020-07-27 00:00:00+00,0.00703609
ADA,2020-07-28 00:00:00+00,0.06323965
ADA,2020-07-29 00:00:00+00,0.00890482
ADA,2020-07-30 00:00:00+00,0.05618746
ADA,2020-07-31 00:00:00+00,0.1258362
ADA,2020-08-01 00:00:00+00,0.28687231
ADA,2020-08-02 00:00:00+00,0.02300452
ADA,2020-08-03 00:00:00+00,0.05150658
ADA,2020-08-04 00:00:00+00,0.08919077
ADA,2020-08-05 00:00:00+00,0.0602312
ADA,2020-08-06 00:00:00+00,0.08053474
ADA,2020-08-07 00:00:00+00,0.0471915
ADA,2020-08-08 00:00:00+00,0.10310761
ADA,2020-08-09 00:00:00+00,0.11484155
ADA,2020-08-10 00:00:00+00,0.0887381
ADA,2020-08-11 00:00:00+00,0.03126288
ADA,2020-08-12 00:00:00+00,0.01494442
ADA,2020-08-13 00:00:00+00,0.01184636
ADA,2020-08-14 00:00:00+00,0.05077139
ADA,2020-08-15 00:00:00+00,0.08879466
ADA,2020-08-16 00:00:00+00,0.08971803
ADA,2020-08-17 00:00:00+00,0.18882444
ADA,2020-08-18 00:00:00+00,0.05678409
ADA,2020-08-19 00:00:00+00,0.07087521
ADA,2020-08-20 00:00:00+00,0.04152211
ADA,2020-08-21 00:00:00+00,0.02635036
ADA,2020-08-22 00:00:00+00,-0.0026675
ADA,2020-08-23 00:00:00+00,0.01681241
ADA,2020-08-24 00:00:00+00,0.02994715
ADA,2020-08-25 00:00:00+00,0.00791416
ADA,2020-08-26 00:00:00+00,0.02500469
ADA,2020-08-27 00:00:00+00,0.01035802
ADA,2020-08-28 00:00:00+00,0.02031905
ADA,2020-08-29 00:00:00+00,0.00954801
ADA,2020-08-30 00:00:00+00,0.01158801
ADA,2020-08-31 00:00:00+00,0.05997311
ADA,2020-09-01 00:00:00+00,0.10587398
ADA,2020-09-02 00:00:00+00,0.01025538
ADA,2020-09-03 00:00:00+00,-0.00188346
ADA,2020-09-04 00:00:00+00,-0.04572572
ADA,2020-09-05 00:00:00+00,-0.02205277
ADA,2020-09-06 00:00:00+00,0.00558855
ADA,2020-09-07 00:00:00+00,0.00840534
ADA,2020-09-08 00:00:00+00,0.00439667
