symbol,ts_utc,funding_close
ADA,2023-04-23 00:00:00+00,0.00871181
ADA,2023-04-24 00:00:00+00,0.0014307
ADA,2023-04-25 00:00:00+00,0.00738674
ADA,2023-04-26 00:00:00+00,0.004918
ADA,2023-04-27 00:00:00+00,0.007397
ADA,2023-04-28 00:00:00+00,0.006824
ADA,2023-04-29 00:00:00+00,0.00894
ADA,2023-04-30 00:00:00+00,0.000075
ADA,2023-05-01 00:00:00+00,0.007842
ADA,2023-05-02 00:00:00+00,0.007814
ADA,2023-05-03 00:00:00+00,0.009227
ADA,2023-05-04 00:00:00+00,0.009735
ADA,2023-05-05 00:00:00+00,0.008126
ADA,2023-05-06 00:00:00+00,-0.001256
ADA,2023-05-07 00:00:00+00,0.004149
ADA,2023-05-08 00:00:00+00,-0.001896
ADA,2023-05-09 00:00:00+00,0.002102
ADA,2023-05-10 00:00:00+00,0.006174
ADA,2023-05-11 00:00:00+00,0.004652
ADA,2023-05-12 00:00:00+00,0.007914
ADA,2023-05-13 00:00:00+00,0.009549
ADA,2023-05-14 00:00:00+00,0.009694
ADA,2023-05-15 00:00:00+00,0.004964
ADA,2023-05-16 00:00:00+00,0.008915
ADA,2023-05-17 00:00:00+00,0.009292
ADA,2023-05-18 00:00:00+00,0.009925
ADA,2023-05-19 00:00:00+00,-0.003417
ADA,2023-05-20 00:00:00+00,0.000011
ADA,2023-05-21 00:00:00+00,-0.000022
ADA,2023-05-22 00:00:00+00,0.009217
ADA,2023-05-23 00:00:00+00,0.010449
ADA,2023-05-24 00:00:00+00,0.010313
ADA,2023-05-25 00:00:00+00,0.008083
ADA,2023-05-26 00:00:00+00,0.008054
ADA,2023-05-27 00:00:00+00,0.00924
ADA,2023-05-28 00:00:00+00,0.00924
ADA,2023-05-29 00:00:00+00,0.010457
ADA,2023-05-30 00:00:00+00,0.010428
ADA,2023-05-31 00:00:00+00,0.00965
ADA,2023-06-01 00:00:00+00,-0.002253
ADA,2023-06-02 00:00:00+00,0.008937
ADA,2023-06-03 00:00:00+00,0.010343
ADA,2023-06-04 00:00:00+00,0.010398
ADA,2023-06-05 00:00:00+00,-0.005993
ADA,2023-06-06 00:00:00+00,0.004855
ADA,2023-06-07 00:00:00+00,0.008128
ADA,2023-06-08 00:00:00+00,0.010496
ADA,2023-06-09 00:00:00+00,0.011687
ADA,2023-06-10 00:00:00+00,-0.054776
ADA,2023-06-11 00:00:00+00,-0.028267
ADA,2023-06-12 00:00:00+00,-0.00184
ADA,2023-06-13 00:00:00+00,-0.001051
ADA,2023-06-14 00:00:00+00,-0.005019
ADA,2023-06-15 00:00:00+00,-0.005268
ADA,2023-06-16 00:00:00+00,-0.004025
ADA,2023-06-17 00:00:00+00,-0.005893
ADA,2023-06-18 00:00:00+00,-0.003277
ADA,2023-06-19 00:00:00+00,-0.002502
ADA,2023-06-20 00:00:00+00,0.003217
ADA,2023-06-21 00:00:00+00,0.001934
ADA,2023-06-22 00:00:00+00,-0.004631
ADA,2023-06-23 00:00:00+00,-0.008255
ADA,2023-06-24 00:00:00+00,-0.010612
ADA,2023-06-25 00:00:00+00,-0.004724
ADA,2023-06-26 00:00:00+00,-0.015719
ADA,2023-06-27 00:00:00+00,0.001213
ADA,2023-06-28 00:00:00+00,-0.006869
ADA,2023-06-29 00:00:00+00,-0.004201
ADA,2023-06-30 00:00:00+00,-0.005117
ADA,2023-07-01 00:00:00+00,0.006942
ADA,2023-07-02 00:00:00+00,0.010075
ADA,2023-07-03 00:00:00+00,0.010597
ADA,2023-07-04 00:00:00+00,0.008706
ADA,2023-07-05 00:00:00+00,0.001574
ADA,2023-07-06 00:00:00+00,0.000945
ADA,2023-07-07 00:00:00+00,-0.001834
ADA,2023-07-08 00:00:00+00,0.000828
ADA,2023-07-09 00:00:00+00,-0.003879
ADA,2023-07-10 00:00:00+00,0.009146
ADA,2023-07-11 00:00:00+00,0.010148
ADA,2023-07-12 00:00:00+00,0.001639
ADA,2023-07-13 00:00:00+00,0.010472
ADA,2023-07-14 00:00:00+00,0.007397
ADA,2023-07-15 00:00:00+00,0.005477
ADA,2023-07-16 00:00:00+00,-0.013084
ADA,2023-07-17 00:00:00+00,0.010522
ADA,2023-07-18 00:00:00+00,0.009487
ADA,2023-07-19 00:00:00+00,0.003827
ADA,2023-07-20 00:00:00+00,0.009129
ADA,2023-07-21 00:00:00+00,0.008243
ADA,2023-07-22 00:00:00+00,0.009828
ADA,2023-07-23 00:00:00+00,0.009309
ADA,2023-07-24 00:00:00+00,0.008171
ADA,2023-07-25 00:00:00+00,0.009425
ADA,2023-07-26 00:00:00+00,0.009142
ADA,2023-07-27 00:00:00+00,0.00921
ADA,2023-07-28 00:00:00+00,0.010541
ADA,2023-07-29 00:00:00+00,0.010493
ADA,2023-07-30 00:00:00+00,0.008196
ADA,2023-07-31 00:00:00+00,0.009131
ADA,2023-08-01 00:00:00+00,0.010553
ADA,2023-08-02 00:00:00+00,0.010417
ADA,2023-08-03 00:00:00+00,-0.005004
ADA,2023-08-04 00:00:00+00,0.008639
ADA,2023-08-05 00:00:00+00,0.008352
ADA,2023-08-06 00:00:00+00,0.009346
ADA,2023-08-07 00:00:00+00,0.004764
ADA,2023-08-08 00:00:00+00,0.00887
ADA,2023-08-09 00:00:00+00,0.009771
ADA,2023-08-10 00:00:00+00,0.008942
ADA,2023-08-11 00:00:00+00,0.010491
ADA,2023-08-12 00:00:00+00,0.003585
ADA,2023-08-13 00:00:00+00,0.006221
ADA,2023-08-14 00:00:00+00,0.009135
ADA,2023-08-15 00:00:00+00,-0.016401
ADA,2023-08-16 00:00:00+00,-0.027339
ADA,2023-08-17 00:00:00+00,-0.05159
ADA,2023-08-18 00:00:00+00,-0.005342
ADA,2023-08-19 00:00:00+00,-0.000765
ADA,2023-08-20 00:00:00+00,-0.001634
ADA,2023-08-21 00:00:00+00,0.003237
ADA,2023-08-22 00:00:00+00,-0.011531
ADA,2023-08-23 00:00:00+00,-0.004119
ADA,2023-08-24 00:00:00+00,0.00025
ADA,2023-08-25 00:00:00+00,-0.004576
ADA,2023-08-26 00:00:00+00,-0.004855
ADA,2023-08-27 00:00:00+00,-0.000165
ADA,2023-08-28 00:00:00+00,0.007135
ADA,2023-08-29 00:00:00+00,0.007198
ADA,2023-08-30 00:00:00+00,0.002966
ADA,2023-08-31 00:00:00+00,-0.01386
ADA,2023-09-01 00:00:00+00,-0.002477
ADA,2023-09-02 00:00:00+00,-0.005945
ADA,2023-09-03 00:00:00+00,-0.00691
ADA,2023-09-04 00:00:00+00,0.005368
ADA,2023-09-05 00:00:00+00,0.003826
ADA,2023-09-06 00:00:00+00,0.007405
ADA,2023-09-07 00:00:00+00,0.00763
ADA,2023-09-08 00:00:00+00,-0.008928
ADA,2023-09-09 00:00:00+00,-0.015647
ADA,2023-09-10 00:00:00+00,-0.00248
ADA,2023-09-11 00:00:00+00,-0.00116
ADA,2023-09-12 00:00:00+00,0.003513
ADA,2023-09-13 00:00:00+00,0.00849
ADA,2023-09-14 00:00:00+00,0.00078
ADA,2023-09-15 00:00:00+00,0.000686
ADA,2023-09-16 00:00:00+00,-0.00998
ADA,2023-09-17 00:00:00+00,-0.012278
ADA,2023-09-18 00:00:00+00,0.004104
ADA,2023-09-19 00:00:00+00,0.006728
ADA,2023-09-20 00:00:00+00,-0.019757
ADA,2023-09-21 00:00:00+00,0.009271
ADA,2023-09-22 00:00:00+00,0.010211
ADA,2023-09-23 00:00:00+00,0.010159
ADA,2023-09-24 00:00:00+00,0.011051
ADA,2023-09-25 00:00:00+00,0.008312
ADA,2023-09-26 00:00:00+00,0.009481
ADA,2023-09-27 00:00:00+00,0.004582
ADA,2023-09-28 00:00:00+00,0.008694
ADA,2023-09-29 00:00:00+00,0.009465
ADA,2023-09-30 00:00:00+00,0.006099
ADA,2023-10-01 00:00:00+00,0.004953
ADA,2023-10-02 00:00:00+00,0.010375
ADA,2023-10-03 00:00:00+00,0.007995
ADA,2023-10-04 00:00:00+00,0.005116
ADA,2023-10-05 00:00:00+00,0.008344
ADA,2023-10-06 00:00:00+00,0.007284
ADA,2023-10-07 00:00:00+00,0.010874
ADA,2023-10-08 00:00:00+00,0.001895
ADA,2023-10-09 00:00:00+00,0.006078
ADA,2023-10-10 00:00:00+00,0.007453
ADA,2023-10-11 00:00:00+00,0.008949
ADA,2023-10-12 00:00:00+00,0.008786
ADA,2023-10-13 00:00:00+00,-0.005622
ADA,2023-10-14 00:00:00+00,0.00666
ADA,2023-10-15 00:00:00+00,0.001668
ADA,2023-10-16 00:00:00+00,0.001223
ADA,2023-10-17 00:00:00+00,-0.005969
ADA,2023-10-18 00:00:00+00,-0.002682
ADA,2023-10-19 00:00:00+00,0.003129
ADA,2023-10-20 00:00:00+00,-0.003995
ADA,2023-10-21 00:00:00+00,0.011343
ADA,2023-10-22 00:00:00+00,0.006532
ADA,2023-10-23 00:00:00+00,0.0104
ADA,2023-10-24 00:00:00+00,0.011423
ADA,2023-10-25 00:00:00+00,0.010279
ADA,2023-10-26 00:00:00+00,0.010606
ADA,2023-10-27 00:00:00+00,0.007792
ADA,2023-10-28 00:00:00+00,0.010273
ADA,2023-10-29 00:00:00+00,0.009943
ADA,2023-10-30 00:00:00+00,0.010374
ADA,2023-10-31 00:00:00+00,0.008987
ADA,2023-11-01 00:00:00+00,0.019482
ADA,2023-11-02 00:00:00+00,0.009739
ADA,2023-11-03 00:00:00+00,0.010788
ADA,2023-11-04 00:00:00+00,0.009701
ADA,2023-11-05 00:00:00+00,0.011999
ADA,2023-11-06 00:00:00+00,0.013679
ADA,2023-11-07 00:00:00+00,0.010742
ADA,2023-11-08 00:00:00+00,0.012202
ADA,2023-11-09 00:00:00+00,0.00671
ADA,2023-11-10 00:00:00+00,0.015989
ADA,2023-11-11 00:00:00+00,0.022547
ADA,2023-11-12 00:00:00+00,0.028001
ADA,2023-11-13 00:00:00+00,0.009606
ADA,2023-11-14 00:00:00+00,0.008546
ADA,2023-11-15 00:00:00+00,0.008959
ADA,2023-11-16 00:00:00+00,0.009447
ADA,2023-11-17 00:00:00+00,0.008788
ADA,2023-11-18 00:00:00+00,0.009334
ADA,2023-11-19 00:00:00+00,0.011222
ADA,2023-11-20 00:00:00+00,0.009278
ADA,2023-11-21 00:00:00+00,0.007888
ADA,2023-11-22 00:00:00+00,0.009751
ADA,2023-11-23 00:00:00+00,0.012408
ADA,2023-11-24 00:00:00+00,0.008856
ADA,2023-11-25 00:00:00+00,0.01023
ADA,2023-11-26 00:00:00+00,0.010589
ADA,2023-11-27 00:00:00+00,0.01057
ADA,2023-11-28 00:00:00+00,0.010694
ADA,2023-11-29 00:00:00+00,0.014333
ADA,2023-11-30 00:00:00+00,0.011015
