symbol,ts_utc,open,high,low,close,volume_usd
ADAUSDT,2020-02-03 00:00:00+00:00,0.05663,0.05718,0.05606,0.05656,4823339.16941
ADAUSDT,2020-02-04 00:00:00+00:00,0.05643,0.05682,0.05567,0.05599,2290915.07993
ADAUSDT,2020-02-05 00:00:00+00:00,0.05592,0.06028,0.05572,0.05942,16373006.06318
ADAUSDT,2020-02-06 00:00:00+00:00,0.05947,0.06115,0.0572,0.06012,16891669.91313
ADAUSDT,2020-02-07 00:00:00+00:00,0.06017,0.06306,0.05966,0.06022,18425373.94492
ADAUSDT,2020-02-08 00:00:00+00:00,0.06011,0.06147,0.0569,0.06024,15509373.48199
ADAUSDT,2020-02-09 00:00:00+00:00,0.06015,0.06261,0.0601,0.06151,10157003.18902
ADAUSDT,2020-02-10 00:00:00+00:00,0.06193,0.06195,0.05818,0.06033,13404694.48782
ADAUSDT,2020-02-11 00:00:00+00:00,0.06031,0.06364,0.05901,0.06354,18519718.20148
ADAUSDT,2020-02-12 00:00:00+00:00,0.06359,0.0709,0.06351,0.06838,36789463.44762
ADAUSDT,2020-02-13 00:00:00+00:00,0.06839,0.07256,0.06573,0.06885,36339202.1663
ADAUSDT,2020-02-14 00:00:00+00:00,0.06883,0.0715,0.06709,0.07085,33945295.81977
ADAUSDT,2020-02-15 00:00:00+00:00,0.07087,0.0715,0.06189,0.06418,30786057.63253
ADAUSDT,2020-02-16 00:00:00+00:00,0.064,0.06717,0.05655,0.06219,31196310.42027
ADAUSDT,2020-02-17 00:00:00+00:00,0.06162,0.06286,0.05567,0.06024,27021693.01589
ADAUSDT,2020-02-18 00:00:00+00:00,0.06036,0.06377,0.05748,0.06273,24913519.82864
ADAUSDT,2020-02-19 00:00:00+00:00,0.06279,0.06306,0.05703,0.05751,20501917.81876
ADAUSDT,2020-02-20 00:00:00+00:00,0.0571,0.05908,0.05545,0.05814,18293525.74565
ADAUSDT,2020-02-21 00:00:00+00:00,0.05821,0.06006,0.05739,0.05855,19084964.93345
ADAUSDT,2020-02-22 00:00:00+00:00,0.05853,0.05912,0.05701,0.05832,15999969.79349
ADAUSDT,2020-02-23 00:00:00+00:00,0.05831,0.06211,0.05823,0.0617,20900141.15957
ADAUSDT,2020-02-24 00:00:00+00:00,0.06148,0.06191,0.0574,0.0591,22367794.09155
ADAUSDT,2020-02-25 00:00:00+00:00,0.05921,0.05925,0.05577,0.05628,20627984.41653
ADAUSDT,2020-02-26 00:00:00+00:00,0.05592,0.05674,0.04679,0.04928,27232913.6555
ADAUSDT,2020-02-27 00:00:00+00:00,0.04905,0.05212,0.04621,0.04969,16731713.21801
ADAUSDT,2020-02-28 00:00:00+00:00,0.05003,0.05134,0.02286,0.04885,15161418.02861
ADAUSDT,2020-02-29 00:00:00+00:00,0.04894,0.05001,0.04709,0.04716,12352238.7824
ADAUSDT,2020-03-01 00:00:00+00:00,0.04726,0.04835,0.04505,0.04571,14987642.2832
ADAUSDT,2020-03-02 00:00:00+00:00,0.04564,0.04987,0.04545,0.04923,15127461.81944
ADAUSDT,2020-03-03 00:00:00+00:00,0.04927,0.04944,0.04742,0.04868,14557865.98158
ADAUSDT,2020-03-04 00:00:00+00:00,0.04875,0.05043,0.04786,0.04907,12597025.17802
ADAUSDT,2020-03-05 00:00:00+00:00,0.04901,0.05242,0.04901,0.05101,18302892.71191
ADAUSDT,2020-03-06 00:00:00+00:00,0.051,0.0518,0.04985,0.05179,14346712.1896
ADAUSDT,2020-03-07 00:00:00+00:00,0.05189,0.05197,0.04816,0.04892,15225598.40394
ADAUSDT,2020-03-08 00:00:00+00:00,0.04877,0.04888,0.0422,0.0428,10586206.50876
ADAUSDT,2020-03-09 00:00:00+00:00,0.04319,0.04398,0.03894,0.04154,19280975.23743
ADAUSDT,2020-03-10 00:00:00+00:00,0.04164,0.04303,0.04035,0.04146,16431687.5162
ADAUSDT,2020-03-11 00:00:00+00:00,0.04147,0.04182,0.03732,0.0397,13923938.53715
ADAUSDT,2020-03-12 00:00:00+00:00,0.03972,0.03986,0.02193,0.02299,20581043.54443
ADAUSDT,2020-03-13 00:00:00+00:00,0.02374,0.02936,0.01752,0.02851,18385932.20202
ADAUSDT,2020-03-14 00:00:00+00:00,0.02816,0.02893,0.02519,0.02564,10760852.53783
ADAUSDT,2020-03-15 00:00:00+00:00,0.02578,0.02897,0.02539,0.02692,10334197.29598
ADAUSDT,2020-03-16 00:00:00+00:00,0.02685,0.02694,0.02149,0.02409,21288893.82416
ADAUSDT,2020-03-17 00:00:00+00:00,0.02426,0.02643,0.02374,0.02575,8132381.0329
ADAUSDT,2020-03-18 00:00:00+00:00,0.02574,0.02646,0.02425,0.02602,6841198.86354
ADAUSDT,2020-03-19 00:00:00+00:00,0.02608,0.032,0.02572,0.03032,8377110.51242
ADAUSDT,2020-03-20 00:00:00+00:00,0.03048,0.03385,0.02664,0.02951,9661565.37704
