symbol,ts_utc,open,high,low,close,volume_usd
BNBUSDT,2017-11-06 00:00:00+00,1.5,1.799,0.5,1.571,192128.3355
BNBUSDT,2017-11-07 00:00:00+00,1.571,1.8,1.5389,1.8,224771.731
BNBUSDT,2017-11-08 00:00:00+00,1.7901,1.99,1.7479,1.9889,661188.7915
BNBUSDT,2017-11-09 00:00:00+00,1.9781,2.1997,1.9,1.99,585812.8257
BNBUSDT,2017-11-10 00:00:00+00,1.99,2.02,1.6019,1.7133,885876.8652
BNBUSDT,2017-11-11 00:00:00+00,1.79,1.925,1.58,1.655,452345.7702
BNBUSDT,2017-11-12 00:00:00+00,1.6567,1.7,1.34,1.49,704902.9896
BNBUSDT,2017-11-13 00:00:00+00,1.5,1.7381,1.5,1.68,273596.3232
BNBUSDT,2017-11-14 00:00:00+00,1.6801,1.7381,1.5321,1.5911,285855.4757
BNBUSDT,2017-11-15 00:00:00+00,1.5721,1.6794,1.49,1.5532,460183.5225
BNBUSDT,2017-11-16 00:00:00+00,1.5533,1.6699,1.511,1.5599,315953.888
BNBUSDT,2017-11-17 00:00:00+00,1.5599,1.5765,1.49,1.5041,640592.3807
BNBUSDT,2017-11-18 00:00:00+00,1.5041,1.6699,1.492,1.6699,270253.4279
BNBUSDT,2017-11-19 00:00:00+00,1.6524,1.6948,1.575,1.6,294879.4652
BNBUSDT,2017-11-20 00:00:00+00,1.6,1.6522,1.5605,1.64,257135.1037
BNBUSDT,2017-11-21 00:00:00+00,1.6257,1.6419,1.54,1.5874,653820.9506
BNBUSDT,2017-11-22 00:00:00+00,1.5728,1.6211,1.5556,1.6158,311505.2278
BNBUSDT,2017-11-23 00:00:00+00,1.6,1.618,1.5388,1.57,289488.7713
BNBUSDT,2017-11-24 00:00:00+00,1.5644,1.8187,1.54,1.7292,1080205.3268
BNBUSDT,2017-11-25 00:00:00+00,1.712,1.9588,1.68,1.87,856432.4495
BNBUSDT,2017-11-26 00:00:00+00,1.85,1.91,1.76,1.8388,359756.0249
BNBUSDT,2017-11-27 00:00:00+00,1.8388,1.9532,1.74,1.9532,877871.7382
BNBUSDT,2017-11-28 00:00:00+00,1.945,1.9532,1.801,1.9249,677548.2744
BNBUSDT,2017-11-29 00:00:00+00,1.9248,2.0486,1.55,1.7565,1734093.3985
BNBUSDT,2017-11-30 00:00:00+00,1.7641,2.038,1.71,1.95,1410818.442
BNBUSDT,2017-12-01 00:00:00+00,1.95,2.1385,1.8801,2.0527,650183.3514
BNBUSDT,2017-12-02 00:00:00+00,2.0526,2.1199,1.975,2.0797,495787.7686
BNBUSDT,2017-12-03 00:00:00+00,2.0797,2.4,2.0438,2.2617,764734.6341
BNBUSDT,2017-12-04 00:00:00+00,2.2617,2.5898,2.2617,2.55,945326.3729
